job_id,company_name,model_response
1,Google," {
  ""Core Responsibilities"": ""Responsible for expanding Google Workspace product adoption across an assigned territory. Build relationships with customers to understand needs and provide Google Workspace solutions. Partner with account teams to construct solutions and grow business for Google Workspace."",
  ""Required Skills"": ""Bachelor's degree or equivalent experience. Experience managing enterprise SaaS accounts and sales cycles."", 
  ""Educational Requirements"": ""Bachelor's degree or equivalent experience."",
  ""Experience Level"": ""Experience managing enterprise SaaS accounts and sales cycles."",
  ""Preferred Qualifications"": ""Experience building strategic partnerships with enterprise customers. Ability to work through a reseller ecosystem. Excellent communication and strategic thinking skills."",
  ""Compensation and Benefits"": ""N/A""
}"
2,Apple," {
  ""Core Responsibilities"": ""as an asc you will be highly influential in growing mind and market share of apple products while building longterm relationships with those who share your passion customer experiences are driven through you and your partner team growing in an ever changing and challenging environment you strive for perfection whether its maintaining visual merchandising or helping to grow and develop your partner team"",
  ""Required Skills"": ""a passion to help people understand how apple products can enrich their livesexcellent communication skills allowing you to be as comfortable in front of a small group as you are speaking with individuals years preferred working in a dynamic sales andor results driven environment as well as proven success developing customer loyaltyability to encourage a partner team and grow apple business"",
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""years preferred"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
3,Netflix," {
  ""Core Responsibilities"": ""Help drive business by supporting licensing managers on tasks related to category management, facilitating information between stakeholders, maintaining communication plans. Coordinate with internal teams to share brand and marketing updates with partners. Maintain and update title strategies and licensing plans. Collaborate with partners on product launches. Assist with licensing recaps, meetings, and agreements."",
  ""Required Skills"": ""2+ years experience in preferably outbound licensing. Understanding of category manufacturing and sales cycles for toys/food/beverage preferred. Experience with entertainment/lifestyle brands. Self-starter, proactive, flexible. Thrives under pressure. Superb organizational and multitasking skills. Excellent communication skills."", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""2+ years experience in preferably outbound licensing"",
  ""Preferred Qualifications"": ""Understanding of category manufacturing and sales cycles for toys and/or food and beverage preferred. Experience working with reputable entertainment and/or lifestyle brands."",
  ""Compensation and Benefits"": ""N/A""
}"
4,Robert Half," {
  ""Core Responsibilities"": ""Designing websites, wireframes, landing pages, and mobile applications. Implementing designs using HTML, CSS, and JavaScript. QA testing sites and applications."",
  ""Required Skills"": ""2+ years experience in web design. Proficiency with Adobe Creative Cloud (Photoshop, Illustrator, InDesign). Strong HTML, CSS, JavaScript skills. Familiarity with content management systems."",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""2+ years"",
  ""Preferred Qualifications"": ""UX/UI design experience. Knowledge of brand standards and guidelines."",
  ""Compensation and Benefits"": ""N/A""
}"
5,TrackFive," {
  ""Core Responsibilities"": ""Build and layouts from provided PSD files, build dynamic web apps using PHP/MySQL frameworks, leverage REST services and other third-party APIs, rapidly solve problems/bugs and compatibility issues, troubleshoot test and maintain the core product software and databases"",
  ""Required Skills"": ""2+ years of experience with HTML and CSS/SASS, 2+ years of experience with programming PHP applications and LAMP stack development, experience with ES6 JavaScript and jQuery, thorough understanding of relational databases and security relating to PHP/MySQL, expert knowledge with content management systems either from your own design or from MVC frameworks such as Zend, Laravel etc., ability to build and consume custom SOAP and REST APIs, 2+ years of experience writing unit tests detailing procedures, self-motivated requiring minimal supervision, exceptional organization and communication skills"",
  ""Educational Requirements"": ""N/A"", 
  ""Experience Level"": ""2+ years"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Free health insurance for employees with no waiting period, dental and vision insurance (Trackfive splits the cost), paid birthday holiday, company-paid short and long-term disability insurance, company-paid life insurance, flex time, paid parental leave, company-matched retirement plan with no waiting or vesting period, work-from-home options, office perks like snacks/massages/pet days, opportunity to work with great people on exciting things, amazing holiday party""
}"
6,DesignUps," {
  ""Core Responsibilities"": ""Translate designs responsively for multiple screen sizes. Work in WordPress. Frontend web development."",
  ""Required Skills"": ""Strong attention to design details, typography, UI, etc. Familiarity with Bootstrap or similar frameworks. WordPress knowledge."", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""Desire to learn WordPress."",
  ""Compensation and Benefits"": ""N/A""
}"
7,"Equisolve, Inc."," {
  ""Core Responsibilities"": ""Provide design support for client and internal website projects. Collaborate with content and development teams. Ensure high-quality implementation of designs. Use and evolve the design system."",
  ""Required Skills"": ""2+ years experience in web or product design. Portfolio showcasing typography, interaction and visual design skills. Understanding of responsive design and modular design systems. Figma and design tools proficiency. Strong communication skills. Self-starter."",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""2+ years experience as an individual contributor on a web or product design team"",
  ""Preferred Qualifications"": ""Personal projects displaying design aesthetic and passions. ADA and accessibility certification. Experience facilitating visual design adoption. Ability to communicate design decisions."",
  ""Compensation and Benefits"": ""Remote work. Generous PTO. Education/training allowance. Apple hardware. Insurance benefits. Company-sponsored life insurance.""
}"
8,Zander Insurance Agency," {
  ""Core Responsibilities"": ""Design compelling direct response websites and digital content that supports the brand campaign objectives and drives measurable actions. Utilize knowledge of company products and services to create effective designs. Create designs compatible across devices. Create mockups and present ideas to stakeholders. Continually improve user experiences and drive revenue growth."",
  ""Required Skills"": ""2+ years of digital design experience driving online sales or marketing. Ability to communicate effectively with high-level clients. Able to thrive in a fast-paced, team environment. Open to new ideas and able to adapt quickly. Proficiency with Adobe Creative Suite including Photoshop, Illustrator, and InDesign. Experience with Sketch and UI wireframing. Ability to articulate design concepts. HTML/CSS/JS experience preferred but not required."",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""2+ years of relevant digital design experience"",
  ""Preferred Qualifications"": ""HTML/CSS/JS experience"",
  ""Compensation and Benefits"": ""Competitive salary, monthly profit distributions, health/dental insurance paid 100% by company, 401k matching, generous paid time off, potential for remote work""
}"
9,Tuff," {
  ""Core Responsibilities"": ""Work on various website designs and ongoing monthly improvements for 5 clients. This includes testing CTAs, remediating core pages, adding landing pages, refining pricing pages, updating user flows, redesigning blogs, etc. Guide website project timelines, scopes and costs within the Tuff process."",
  ""Required Skills"": ""3+ years experience as a web designer. Experience with creative production tools like Figma and Adobe Suite. Strong project management skills. Clean aesthetic and typography skills. Strategic thinker with passion for brand building and UX. Flexibility to work on multiple brands at once."",
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""3+ years experience as a web designer"",
  ""Preferred Qualifications"": ""Experience working with creative production teams. Learning mindset committed to continuous improvement. Bias toward action, efficiency and adaptability. Success testing and uncovering insights."",
  ""Compensation and Benefits"": ""$110,000-$150,000 salary range. Comprehensive health, dental and vision coverage. 401k with matching. Unlimited PTO. Parental leave. Home office stipend. Internet reimbursement. Annual team retreats.""
}"
10,General Dynamics Information Technology," {
  ""Core Responsibilities"": ""Designs and builds complex graphics, page layouts and animation for web pages. Creates detailed drafts of website outlines based on client needs. Provides thorough testing and review of final website designs."",
  ""Required Skills"": ""Proficiency in HTML, CSS, JavaScript, Drupal, Adobe Photoshop, Illustrator, After Effects and Lightroom."", 
  ""Educational Requirements"": ""Bachelor's degree or equivalent experience."",
  ""Experience Level"": ""2+ years of experience"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
